score,content,content_bersih
5,bagus bgt aplikasinya mudah dimengerti.,bagus mudah erti
1,"Ganti ke seabank aja bit bibit. Verifikasi jago pakek wajah gak becus banget, pakek vc segala. Sedangkan orang itu ada yang paling males vc.",ganti seabank bit verifikasi jago pakek wajah becus pakek vc orang males vc
5,"mantaps , mudah di pelajari",mantaps mudah ajar
5,mantab,mantab
1,Jelek uang saya hilang saat beli eror tapi saldo hilang ampun dah mau investasi ke bibit toubat,jelek uang hilang beli eror saldo hilang ampun investasi toubat
5,Mantul,mantul
4,"keren aplikasinya, investasi jadi aman dan mudah",keren investasi aman mudah
5,aplikasi yg user friendly ....juga disertai grup dgn saran yg mendukung saya utk giat berinvestasi ðŸ¤©,user friendly grup dgn saran dukung utk giat investasi
5,memudahkan investasi,mudah investasi
5,"mantap, fitur nya mudah dan simpel",mantap fitur mudah simpel
5,mantap,mantap
1,"Sayang sekali aku harus uninstall aplikasi ini, diminta terus teruss buat registrasi, pas input nomor identitas, malah salah"" Terus",sayang uninstall teruss registrasi pas input nomor identitas salah
2,Kan sudah ktp digital no nik sma di diskucapil tapi gara tgl gagal kecewa percuma pake ktp digital Apk sebelah aja bisa dan lancar buat invest mf saya rat 2,ktp digital no nik sma diskucapil gara tgl gagal kecewa pake ktp digital belah lancar invest mf rat
5,lebih simple dan cepat bertransaksi buat pemula,simple cepat transaksi
5,"Bagus, respons CS nya juga cepat ketika ada kendala",bagus respons cs cepat kendala
1,pencairan terlalu lama apalagi kalau bank beda dengan bank Kustodian bisa 3 hari,cair bank beda bank kustodian
5,Tabungan masa depan yg okay nie..,tabung okay nie
1,Cara konfirmasi rekening BCA malah gak bisaðŸ˜­ðŸ˜­,konfirmasi rekening bca
5,Aplikasi The besttt ðŸ™Œ,the besttt
5,better,better
5,Aplikasi nya mudah fitur lengkap,mudah fitur lengkap
1,"Pengalaman buruk, invest 70rb, pas dijual uang yg masuk ke rekening cuma 47.400, ada emang beberapa yg pengalamannya gitu, pas saya coba emang bener dong..wahhh",alam buruk invest rb pas jual uang masuk rekening emang alam gitu pas coba emang bener wahhh
5,"Saranku kamu dari bintang 3 dulu siap siap bertahan soalnya di masalah bibit jati ketas kalau di bakar arang harganya naik, kalau buku prosesnya lama, sedangkan kalau mangrove persoalan pada perjanjian dengan Belanda soal ZEE detailnya pada penjaga pantai atau marinir, dan kayu khusus bangunan bervariasi karena kalau pakai besi memang harus cari tempat untuk jadi panjang kalau di lebur juga harus punya tungku peleburan besi",saran bintang tahan jati tas bakar arang harga buku proses mangrove janji belanda zee detail jaga pantai marinir kayu khusus bangun variasi pakai besi cari lebur tungku lebur besi
3,Sayang masih belum bisa buka rekening ren pakai bank jago syariah,sayang buka rekening ren pakai bank jago syariah
1,"Tidak semua dijelaskan dengan baik oleh sistem, contohnya klaim pencairan instan berapapun, begitu di sell all pengajuan tsb jd reguler td instant. Aduh kecewa hmm.",sistem contoh klaim cair instan sell all aju tsb jd reguler td instant aduh kecewa hmm
5,Trima kasih bibit saya menjadi semakin percaya diri untuk investasi di bibit dan membesarkan modal investasi khususnya pemburu obligasi dan SBN hahaa,trima percaya investasi modal investasi khusus buru obligasi sbn hahaa
5,sangat bermanfaat semoga terpercayan dan membantu banyak orang..Sukses Selalu..Aamiin,manfaat moga terpercayan bantu orang sukses aamiin
4,"Emang si aplikasi bagus cuman berkeluh kesah dikit , verifikasi Ampe berhari hari itu ngapain ajasih kok lama banget",emang si bagus keluh kesah dikit verifikasi ampe ngapain ajasih
5,Mantap buat investasi banyak pilihan,mantap investasi pilih
4,bagusss buat pemula,bagusss
5,"Apk bagus, mudah di gunakan orang awam, tp verifikasi upgrade kok lama ya ? Knp",bagus mudah orang awam verifikasi upgrade knp
5,mantap,mantap
5,mantap,mantap
5,sangat membantu,bantu
1,Aku buka aplikasi BIBIT lama skali masuk akunnya,buka skali masuk akun
3,"Tolong dong lebih ditingkatkan lagi terkhusus yang mau widraw saya sebagai pengguna cukup agak kecewa sih, untuk deposit aja cepet proses nya langsung masuk tapi untuk Widraw apalagi widraw dihari Jum'at sampai hari Senin pagi belum cair , padahal bener bener lagi butuh banget cepet duit nya",tingkat khusus widraw kecewa deposit cepet proses langsung masuk widraw widraw jum at senin pagi cair bener bener butuh cepet duit
5,menabung jangka panjangðŸ‘,tabung jangka
5,puas,puas
1,"Nggak bisa di ambil uang tabungan nya , jangan download,.....",ambil uang tabung download
5,Ini untuk umum kan ya,
5,Luar biasa,
5,"bagus aplikasinya, ada pembelajarannya",bagus ajar
5,investasi di bibit aja.,investasi
1,Saya bukan tidak suka dengan bibit tapi ni apk sering kali pembayaran otomatis dari 2 akun berbeda ada 2 akun akun 1 lagi tu 3x pembayaran otomatis terakhir uang selalu tiba tiba kosong. Tolong lh admin biar member baru tidak terkena seperti ini.,suka ni kali bayar otomatis akun beda akun akun tu x bayar otomatis uang kosong lh admin biar member kena
3,"Aplikasinya bagus, use interface menarik dan mudah digunakan, sayang sekali saham tidak dijadikan satu dalam aplikasi jadi harus download aplikasi saham lagi. Harap kembali seperti dulu saham dan reksadana di gabung jadi tidak ribet",bagus use interface tarik mudah sayang saham download saham harap saham reksadana gabung ribet
5,bibit rekom banget dan is the best,rekom is the best
5,Approved,approved
5,mantap,mantap
5,Fiturnya easyuse ðŸ‘,fiturnya easyuse
5,"Aplikasi bagus,gampang dipahami,jual /beli dan pengembalian dana cepat diproses...bintang 5 buat bibit.....",bagus gampang paham jual beli dana cepat proses bintang
5,ok,
5,sangat berguna dan membantu untuk belajar investasi,bantu ajar investasi
5,bagus dan aman,bagus aman
5,good,good
2,"Baru download kemaren, sekarang pas udh berhasil registrasi malah ga bisa di buka apk nya",download kemaren pas hasil registrasi buka
5,oh ya .lg coba coba,coba coba
5,Bisa di bantu Cara login dengan hp yg tidak aktif lagi gimana kak .....?!. Saya sudah 5 THN yg lalu investasi di Reksadana bibit tapi sekarang nomer hp tidak aktive lagiðŸ˜­,bantu login hp aktif gimana kak thn investasi reksadana nomer hp aktive
5,cocok buatsimpanan,cocok buatsimpanan
5,sangat mudah untuk berinvestasi,mudah investasi
1,Please saya lagi urgent proses nya lama untuk dj cairkan di reksa dana,please urgent proses dj cair reksa dana
5,baik,
5,saya sangat tertarik dengan bibit,tarik
5,mudah digunakan buat pemula,mudah
3,ok,
5,oke,
5,bagus,bagus
1,"Ribet banget ni apl buat jadi status bibit plus aja butuh 3 apl yaitu jago, stockbit dan apl bibit ini sendiri. Goddamnit literally ribet parah kok bisa dpt rating 4,8 aneh. Gw mau inves ke perusahaan suplai chain ribet parah njir.",ribet ni apl status plus butuh apl jago stockbit apl goddamnit literally ribet parah dpt rating aneh gw inves usaha suplai chain ribet parah njir
1,Pencairan lama... Mending ga usah..alesan ojk lah..,cair mending alesan ojk
5,Sangat memuaskan dalam berinvestasi bagi pemula,muas investasi
5,aplikasinya bagus dan sangat berguna untuk anak muda,bagus anak muda
5,tak kasih bintang 5 lumayan bagus dan gak ribet semoga awet gini trz ya,bintang lumayan bagus ribet moga awet gin trz
5,sangat membantu untuk pemulah ada vitur untuk melihat saham mana yg rutin bagi dividen trus saham yg pertumbuhan saham dari waktu ke waktu,bantu vitur lihat saham rutin dividen trus saham tumbuh saham
5,sementara ini masih aman..good jobb BIBIT ðŸ˜‰ðŸ˜‰ðŸ˜‰,aman good jobb
5,saham kapal api ngak ada .. tolong carikan Gaes,saham kapal api ngak cari gaes
5,ðŸ‘,
5,"Kak, bisa bikin apk investasi untuk anak dibawah umur 18 tahun gak kak ?, karena saya juga ingin melakukan investasi. Terimakasih",kak bikin investasi anak umur kak laku investasi terimakasih
1,"pencairan lama sekali, kadang chart Cs sering error",cair kadang chart cs error
1,"Ga ada solusi sama sekli bagi pengguna bibit apa lagi yg lupa nmor telfon yg sdah tidak aktf lagi ... Saya mau masuk ke akun saja sellu dpintai verifikasi bibit ber ulang"", padahal sdh terdftar dbibit Mau masuk ke nmor yg sdah tidak aktf lagi dan trus melalui email yg masih aktf pengen ubah d menu seting malah menu setingny yg ga bsa dklik sama skli Malah dtanya yg itu"" mulu ga ad solusi terbaiknya Perbaiki lagi, cuma platfrom bibit lah sdh terdftr malah mash minta verif lagi",solusi sekli lupa nmor telfon sdah aktf masuk akun sellu dpintai verifikasi ber ulang sdh terdftar dbibit masuk nmor sdah aktf trus email aktf ken ubah d menu ting menu setingny bsa dklik skli dtanya mulu ad solusi platfrom sdh terdftr mash verif
5,Mantap,mantap
5,apakah aplikasi ini terpercaya dan aman,percaya aman
1,"Kalau mau jual saham kenapa open terus, kalau rugi aja cepet macth nya",jual saham open rugi cepet macth
1,lelet banget verifikasi nya!!!,lelet verifikasi
5,mantap,mantap
1,"Aplikasinya bagus banget, tpi ketika beberapa kali transaksi, tidak semua bank gratis lagi dan ada banyak biaya admin, jadi agak susah buat mau beli lagi",bagus tpi kali transaksi bank gratis biaya admin susah beli
5,Good aplication! love itðŸ¥°ðŸ¥°ðŸ¥°,good aplication love it
5,bagus,bagus
5,bagus banget nabung di bibit,bagus nabung
5,Bibit the best,the best
5,Mantap,mantap
5,the best apk,the best
5,bagus buat nabung,bagus nabung
5,ðŸ‘ðŸ‘ðŸ‘ðŸ‘ðŸ‘,
