score,content_clean,sentiment_predicted
5,bagus bgt aplikasi mudah erti,positif
1,ganti seabank bit verifikasi jago pakek wajah gak becus banget pakek orang males,negatif
5,mantaps mudah ajar,positif
5,mantab,positif
1,jelek uang hilang beli eror saldo hilang ampun dah toubat,negatif
5,mantul,positif
4,keren aplikasi aman mudah,positif
5,user friendly serta grup dgn saran dukung utk giat investasi,positif
5,mudah,positif
5,mantap fitur mudah simpel,positif
5,mantap,positif
1,sayang uninstall teruss registrasi pas input nomor identitas salah,negatif
2,ktp digital nik sma diskucapil gara tgl gagal kecewa pake ktp digital apk belah lancar invest rat,negatif
5,simple cepat transaksi mula,positif
5,bagus respons cepat kendala,positif
1,cair bank beda bank kustodian,negatif
5,tabung okay nie,positif
1,konfirmasi rekening bca gak,negatif
5,the besttt,positif
5,better,positif
5,mudah fitur lengkap,positif
1,alam buruk invest pas jual uang masuk rekening emang alam gitu pas coba emang bener wahhh,negatif
5,saran bintang tahan jati tas bakar arang harga buku proses mangrove janji belanda zee detail jaga pantai marinir kayu khusus bangun variasi pakai besi cari lebur tungku lebur besi,positif
3,sayang buka rekening ren pakai bank jago syariah,netral
1,sistem contoh klaim cair instan sell all aju tsb reguler instant aduh kecewa hmm,negatif
5,trima kasih percaya besar modal buru obligasi sbn hahaa,positif
5,manfaat moga terpercayan bantu orang sukses aamiin,positif
4,emang bagus cuman keluh kesah dikit verifikasi ampe hari ngapain ajasih banget,negatif
5,mantap pilih,positif
4,bagusss mula,positif
5,apk bagus mudah orang awam verifikasi upgrade knp,positif
5,mantap,positif
5,mantap,positif
5,bantu,positif
1,buka skali masuk akun,netral
3,tingkat khusus widraw guna kecewa sih deposit cepet proses langsung masuk widraw widraw hari jum senin pagi cair bener bener butuh banget cepet duit,negatif
5,tabung jangka,positif
5,puas,positif
1,ambil uang tabung download,negatif
5,bagus aplikasi ajar,positif
1,suka apk kali bayar otomatis akun beda akun akun bayar otomatis uang kosong admin biar member kena,negatif
3,aplikasi bagus use interface tarik mudah sayang saham jadi download saham harap saham reksadana gabung ribet,positif
5,rekom banget the best,positif
5,approved,negatif
5,mantap,positif
5,fiturnya easyuse,positif
5,bagus gampang paham jual beli kembali dana cepat proses bintang,netral
5,guna bantu ajar,positif
5,bagus aman,positif
5,good,positif
2,download kemaren pas udh hasil registrasi buka apk,negatif
5,coba coba,netral
5,bantu login aktif gimana kak thn reksadana nomer aktive,netral
5,cocok buatsimpanan,positif
5,mudah investasi,positif
1,please urgent proses cair reksa dana,negatif
5,tarik,negatif
5,mudah mula,positif
5,oke,positif
5,bagus,positif
1,ribet banget apl status plus butuh apl jago stockbit apl goddamnit literally ribet parah dpt rating aneh inves usaha suplai chain ribet parah njir,negatif
1,cair mending alesan ojk,negatif
5,muas investasi mula,positif
5,aplikasi bagus guna anak muda,positif
5,kasih bintang lumayan bagus gak ribet moga awet gin trz,positif
5,bantu mu vitur saham rutin dividen trus saham tumbuh saham,positif
5,aman good jobb,positif
5,saham kapal api ngak cari gaes,netral
5,kak bikin apk anak bawah umur gak kak terimakasih,netral
1,cair kadang chart error,netral
1,solusi sekli guna lupa nmor telfon sdah aktf masuk akun sellu dpintai verifikasi ber ulang sdh terdftar dbibit masuk nmor sdah aktf trus email aktf ken ubah menu ting menu setingny bsa dklik skli dtanya mulu solusi baik baik platfrom sdh terdftr mash verif,negatif
5,mantap,positif
5,percaya aman,positif
1,jual saham open rugi cepet macth,negatif
1,lelet banget verifikasi,negatif
5,mantap,positif
1,aplikasi bagus banget tpi kali transaksi bank gratis biaya admin susah beli,netral
5,good aplication love,positif
5,bagus,positif
5,bagus banget nabung,positif
5,the best,positif
5,mantap,positif
5,the best apk,positif
5,bagus nabung,positif
5,cocok mula invest reksadana gak sulit mudah paham moga depan fleksibel stabil,positif
5,pake refferal joddiearda,positif
2,reksadana gambar kilat cairin instan cair gitu nama instan mohon benerin udah make tahun gin,negatif
5,bagus tahan,positif
5,bantu,positif
4,let try,positif
5,bagus,positif
5,bantu,positif
5,the best,positif
1,cairin jam subuh masuk uang rekening jam gimana sih uang balikin,negatif
5,tabung,positif
5,decbod,negatif
5,percaya,positif
1,pas grafik sulit deposit main bagus,netral
5,sekian update mengaktivasi rekening dana nasabah rdn bank jago diaktivasi penting fitur auto sip mesan reksa dana otomatis sesuai jadwal tentu mudah mudah manfaat orang,negatif
5,good,positif
5,mantap,positif
5,mudah paham recomendasi mula utk investasi saham beli raksadana,positif
5,puas,positif
5,bantu pakai kode yaa daftar bdpfvnd,positif
5,oke,positif
5,kumplit sih akrg tau intrumen jual beli saham tinggal adain instrumen nabung emas,negatif
5,tahan kualitas tingkat kuat aman lindung jaga data aman konsumen,positif
5,bintang tambahin menu bayar pake qris min biar simple ngetik nomor pas beli reksadana wkwkwk,netral
4,bantu investasi,positif
5,bagus,positif
5,friendly fast respond,positif
3,susah banget rekening bank udah coba kali kali,negatif
5,nyoba modal ehh makasih banget pokok,positif
5,transaksi cepat mudah,netral
5,manfaat,positif
5,peraktis,negatif
1,proses jual saham sampe masuk rekening banget trauma,negatif
5,bantu,positif
5,beta versi,netral
5,segi untung lumayan pribadi berani main saham main obligasi pasar modal tuju utama nabung hindar bunga bank beli barang barang aman gak pakek bonus duit nambah umr jogja,positif
5,bagus ajar invest,positif
5,cocok mula fitur tampil oke bagus tambah produk reksadana biar fleksibel pilih produk reksadana simpel,positif
5,nabung keren,positif
5,bagus saham,positif
5,grafik warna hijau tebal,positif
5,mudah paham fitur mula ramah,positif
5,tambahanin fitur nabung emas kalah belah,netral
5,bagus,positif
1,kode kirim kirim males gimana,negatif
1,cari resadana obligasi masuk rekening,negatif
5,bikin semangat nabung,positif
4,mantap,positif
5,mantappppp,positif
5,mantap,positif
1,kak gak login parah nih verifikasi gmail gak bantu,negatif
5,bagus pakai,positif
5,cuan,positif
4,mudah erti,positif
5,suka,positif
5,cerah,netral
5,tangan,negatif
5,baik,positif
5,best saving money,positif
5,bagus,positif
4,halo kak aju kendala ganti rekening rdn jago bni kak mohon bantuanny,netral
5,baik,positif
5,dapetin cashback nila rbu rupiah pakai code afnila ayo daftar code cantik yah bagus banged recommended mula ber resiko minim investasi rbu rupiah udh ngerasain udah udh uang juta rupiah reksadana,positif
5,mudah pakai tambah info info saham berita kait fitur pnghitung harga wajar saham,netral
5,bagus,positif
5,sgat bantu depan,positif
5,bagus investasi jelas,positif
5,percaya deh pokok sesal invest investasi aman mudah paham kondisi banyakin anggap nabung untung tambah untung cepat daftar lupa pakai kode referral bibitsukseskita cashback,positif
5,mudah ajar fitur bagus aman mudah,positif
5,okee,positif
4,bagus,positif
5,tahap ajar bagus mula,positif
5,bagus terpecaya,positif
5,bagus,positif
3,coba takut nabung,netral
5,mudah ajar mula,positif
5,mantapp,positif
5,bagus utk investor mula,positif
5,balik,negatif
5,mudah informasi transaksi mudah awam,positif
5,bagus,positif
1,retas orang,negatif
5,mantap,positif
5,lumayan,netral
5,bagus,positif
5,recommend bgt jamin tua kelak moga amanah,positif
5,baguss,positif
5,baik mudah paham,positif
5,nice invest,positif
1,invest invest modal jual reksadana lebih modal sya investkan masuk rekening betkurang karena potong administrasi sesal investasi sampah invest ragu pikir lanjut uang kurang,negatif
1,bayar selesai gmna,netral
5,moga,positif
5,the best,positif
2,hubung akun bank jago arah buat rekening,negatif
2,cairin bangetttttt butuh duit darurat,negatif
5,recommended,positif
5,good,positif
5,mantab,positif
5,bagus nabung gak metode bayar bank mandiri jadiin gratis biaya bayar biar rajin nabung,netral
5,bagus,positif
5,bagus investasi,positif
2,harap plus rdn syariah,negatif
5,oke banget,positif
5,bagus,positif
5,mudah tabung,positif
1,cair investnya dek,netral
1,bantu proses cair dana rekening ribet beda pintu milik akses stabil untung cair dana cepat tunggu kerja maaf kasih bintang,negatif
5,baik sih pelayananya the best,positif
5,the best,positif
5,bagus banget bangun habit nabung yuk pake kode bibituntukinvestasi dapetin cashback semangatt,positif
3,knpa bli sbn bank jago sihh pdahal udh rdn bca atockbit,netral
5,mas mula paham,netral
5,bagus,positif
1,jual beli lambat,negatif
5,udah pake tahun bagus user friendly pake profile resiko ampun dah fluktuatif banget naruh gak dapet return wkwk buka deposito thn dapet imbal mayan cuy ngopi bulan,negatif
5,suka chat support gercep bgt kendala langsung,negatif
5,mantappp,positif
5,alhamdulillah bantu investor mula,positif
5,bagus suka tabung,positif
1,cair banget anjirrrr dah bener nabung tabung non onlinee,negatif
2,kasih bintang upgrade plus sengaja pencet rdn bank jago bca kembali tahap pilih rdn baik,negatif
1,nyesel invest app boncos masuk dana dana emang gitu main nyesel banget tuhan,negatif
5,oke,positif
5,sumpah layan the best tdinya salah nama sesuai ktp typo alhasil lgsg chat adminnya tau layan cepet bgt woyy lgsg arahin adminnya smpe fix nama sesuai ktp beuhh mantep,negatif
5,pakai uang puluh juta simpan nabung reksadana trus uang tarik aman rekomendasi nabung keren,negatif
5,mantapppp,positif
5,suka banding stockbit ramai notifikasi,positif
5,simpel mudah ringan rekening pakai bank jago fix jago keren aman percaya jangka bulan mula gratis biaya jual beli reksadana,positif
5,mantap,positif
5,baik ter worth,negatif
5,good,positif
5,pakai kode investasievy cashback daftar simple aman mudah erti mula,positif
1,pencairanya,netral
5,nice,positif
5,bantu tabung rutin fitur mudah cocok metode tabung,positif
5,bagus banget,positif
1,kelas ygvtahu,negatif
5,wow,positif
5,autodebit ovo,positif
5,banget mula,positif
2,upgrade plus rdn jago jago syariah lanjur pake jago syariah gak jago mohon baik,netral
5,bagus moga tambah pilih obligasi kupon atas auto buy,positif
5,milyader,positif
5,bagus,positif
5,daftar,negatif
5,bagusss moga kembang manfaat orang,positif
3,cair rdn banget butuh,netral
5,moga maju,positif
5,bantu,positif
5,lumayan,netral
5,bagus,positif
5,pakai reff jeef bantu,positif
1,daftar akun handphone hilang kontak akun ilang daftar gak delete akun kes tanggap proses,negatif
1,admin ngurus kyc tarak gimana nih kemarin bikin ktp,negatif
5,mantap,positif
5,keren,positif
5,sanget bagus,positif
5,goodddd,negatif
1,kecewa nabung ambil order jual hasil uang engga masuk rekening,negatif
1,coba udah download buka apk mentok logo udh hapus download zonk,negatif
5,manfaat mudah baik,positif
5,keren,positif
3,uji coba,netral
1,verifikasi,netral
1,jelek,negatif
1,aneh buka apk udh deposit,negatif
5,alhamdulillah,positif
5,guna,positif
5,alhamdulillah pakai tabung mudah paham banyak orang,positif
4,bagus,positif
5,mula usaha cari untung,negatif
5,mudah friendly user,positif
5,apik,positif
5,moga depan,positif
5,tampil kereen,positif
5,moga depan pakai rdn jago syariah,netral
4,bug device redmi note hyperos update,netral
5,terima kasih apk truss biar coba paham,positif
1,kesini mudah akses buka error cek koneksi jaring super lancar wifi provider streaming lancar bintang developer,negatif
5,registrasi mudah moga kembang,positif
3,bank kustodian lambat kirim dana rekening tampung bagus mudah paham,netral
5,tipu rekomendasi,negatif
4,dlu feature return pndapatan bulan performa portfolio nmun skarng dhilangkan pforma total tlong feature jgn tiada tau return sbulan dpt brp,netral
5,oke,positif
5,bantu saham mula bantu fast respon informatif,positif
5,bibit bagus video edukasi enak ambil sesui butuh,positif
5,senang hilang lupa password email uang hilang ngaktifkan akunnnya muda,negatif
5,bantu,positif
5,bagus,positif
5,bagus layan,positif
3,verifikasi banget,netral
5,hebat,positif
4,reksadana tingkat update naik reksadana unggul smpai depa investor menengha tau paham kerja terimakasih mantep,positif
3,instal apk tuju biar dana darurat tesimpan salah langkah krn pilih jago syariah bank bca jago konvensional harap depan bank jenis syariah jago syariah nyambung dgn mudah hapus data sdh registrasi susah hapus berat huhuhu,netral
5,manfaat brguna,positif
2,gila masuk aplikasi golong banget menit baik gin trus nyaman,netral
5,bagus,positif
2,manfaat mula,positif
5,bantu,positif
3,jaring lancar masuk berat aplikasi,netral
4,cocok strument mula,positif
1,gak buka gak tau banget nungguin jaring bagus pae wifi,negatif
5,mantaf,positif
5,simple,positif
5,terpecaya,positif
5,nice,positif
5,mudah org utk inventasi,positif
5,mantul ngechat malem aktif,positif
5,pakai zaman pandemi bagus informatif produk tambah inovasi cocok mula moga bagus,positif
5,hasil upgrade makasih,netral
1,gabisa buka stuck logo,negatif
5,siiiiip mantab,positif
5,suka karna tim admin sigap layan guna,positif
1,cair lambattt banget masuk,negatif
5,mudah paham,positif
5,bagus,positif
5,flat form bagis mula ajar pelan pelan,positif
5,mantap,positif
5,mudah mula recommended keluarga teman,positif
1,riben banget,positif
5,mantul praktis,positif
1,kali kali gagal update plus utk aplikasi,negatif
1,verifikasi wajah rekam pakai video gagal login curi identitas,negatif
5,kasih bintang bantu orang masuk masuk bantu kala kendala ngerti terima kasih hadir mula,netral
1,proses apa jual top susah proses sampe ber,negatif
